,precos,bairros,tamanhos,quartos,banheiros,vagas
810,R$ 5.799.020,"Residencial Lago Sul, Bauru",390 m² tot.,3 quartos,4 ban.,4 vagas
811,R$ 4.796.250,"Jardim Shangri-Lá, Bauru",6000 m² tot.,5 quartos,7 ban.,4 vagas
812,R$ 279.860,"Jardim Dona Lili, Bauru",180 m² tot.,2 quartos,1 banheiro,2 vagas
813,R$ 259.670,"Núcleo Residencial Presidente Geisel, Bauru",200 m² tot.,3 quartos,1 banheiro,3 vagas
814,R$ 319.550,"Parque Val de Palmas, Bauru",198 m² tot.,3 quartos,2 ban.,4 vagas
815,R$ 489.140,"Vila Alto Paraíso, Bauru",181 m² tot.,3 quartos,2 ban.,2 vagas
816,R$ 650.560,"Residencial Francisco Lemos de Almeida, Bauru",250 m² tot.,4 quartos,4 ban.,4 vagas
817,R$ 734.880,"Vila Alto Paraíso, Bauru",608 m² tot.,4 quartos,5 ban.,2 vagas
818,R$ 444.120,"Vila Jardim Celina, Bauru",126 m² tot.,3 quartos,2 ban.,2 vagas
819,R$ 579.730,"Núcleo Residencial Presidente Geisel, Bauru",268 m² tot.,5 quartos,4 ban.,2 vagas
820,R$ 509.410,"Novo Jardim Pagani, Bauru",300 m² tot.,4 quartos,3 ban.,2 vagas
821,R$ 299.720,"Jardim Gerson França, Bauru",140 m² tot.,2 quartos,2 ban.,2 vagas
822,R$ 2.199.100,"Jardim Shangri-Lá, Bauru",3000 m² tot.,5 quartos,6 ban.,4 vagas
823,R$ 57.714,"Parque Industrial Manchester, Bauru",180 m² tot.,1 quarto,1 banheiro,1 vaga
824,R$ 101.389,"Jardim das Orquídeas, Bauru",150 m² tot.,1 quarto,1 banheiro,2 vagas
825,R$ 73.567,"Parque Santa Edwiges, Bauru",180 m² tot.,1 quarto,1 banheiro,
826,R$ 700.000,"Graça, Belo Horizonte",360 m² tot.,2 quartos,2 ban.,1 vaga
827,R$ 250.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,5 vagas
828,R$ 260.000,"Conjunto Habitacional Nossa Senhora Aparecida, Araçatuba",146 m² tot.,3 quartos,2 ban.,1 vaga
829,R$ 900.000,"Jardim dos Pereiras (Caucaia do Alto), Cotia",1214 m² tot.,6 quartos,6 ban.,10 vagas
830,R$ 6.500.000,"Pacaembu, São Paulo",454 m² tot.,3 quartos,2 ban.,3 vagas
831,R$ 850.000,"Baeta Neves, São Bernardo do Campo",184 m² tot.,3 quartos,3 ban.,3 vagas
832,R$ 250.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,6 vagas
833,R$ 380.000,"Praia das Palmeiras, Caraguatatuba",172 m² tot.,2 quartos,2 ban.,2 vagas
834,R$ 410.000,"Parque Residencial Salerno (Nova Veneza), Sumaré",250 m² tot.,2 quartos,2 ban.,2 vagas
835,R$ 400.000,"Jardim Proença, Campinas",320 m² tot.,3 quartos,1 banheiro,3 vagas
836,R$ 905.000,"Baeta Neves, São Bernardo do Campo",277 m² tot.,3 quartos,3 ban.,3 vagas
837,R$ 410.000,"Parque Residencial Salerno (Nova Veneza), Sumaré",250 m² tot.,2 quartos,2 ban.,2 vagas
838,R$ 400.000,"Jardim Proença, Campinas",320 m² tot.,3 quartos,1 banheiro,3 vagas
839,R$ 3.800.000,"Pacaembu, São Paulo",765 m² tot.,3 quartos,3 ban.,3 vagas
840,R$ 850.000,"Baeta Neves, São Bernardo do Campo",184 m² tot.,3 quartos,3 ban.,3 vagas
841,R$ 250.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,6 vagas
842,R$ 250.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,3 vagas
843,R$ 3.100.000,"Pacaembu, São Paulo",360 m² tot.,3 quartos,2 ban.,2 vagas
844,R$ 585.000,"Baeta Neves, São Bernardo do Campo",121 m² tot.,2 quartos,2 ban.,2 vagas
845,R$ 680.000,"Graça, Belo Horizonte",448 m² tot.,7 quartos,3 ban.,2 vagas
846,R$ 6.500.000,"Pacaembu, São Paulo",454 m² tot.,3 quartos,2 ban.,3 vagas
847,R$ 369.100,"Conjunto Habitacional Isaura Pitta Garms, Bauru",127 m² tot.,2 quartos,1 banheiro,1 vaga
848,R$ 598.760,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",360 m² tot.,3 quartos,4 ban.,3 vagas
849,R$ 199.600,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
850,R$ 349.160,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",132 m² tot.,3 quartos,2 ban.,2 vagas
851,R$ 429.680,"Conjunto Habitacional Pastor Arlindo Lopes Viana, Bauru",226 m² tot.,3 quartos,2 ban.,2 vagas
852,R$ 319.400,"Vila São João do Ipiranga, Bauru",181 m² tot.,3 quartos,3 ban.,2 vagas
853,R$ 204.330,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",214 m² tot.,2 quartos,2 ban.,2 vagas
854,R$ 289.400,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",160 m² tot.,2 quartos,2 ban.,2 vagas
855,R$ 244.270,"Núcleo Residencial Edison Bastos Gasparini, Bauru",200 m² tot.,4 quartos,1 banheiro,2 vagas
856,R$ 299.150,"Vila São João do Ipiranga, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
857,R$ 164.240,"Núcleo Habitacional Fortunato Rocha Lima, Bauru",140 m² tot.,3 quartos,1 banheiro,2 vagas
858,R$ 649.500,"Vila São João da Boa Vista, Bauru",310 m² tot.,3 quartos,3 ban.,4 vagas
859,R$ 549.350,"Vila São João do Ipiranga, Bauru",150 m² tot.,3 quartos,2 ban.,3 vagas
860,R$ 298.540,"Conjunto Habitacional Isaura Pitta Garms, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
861,R$ 799.560,"Vila São João da Boa Vista, Bauru",390 m² tot.,3 quartos,2 ban.,3 vagas
862,R$ 434.060,"Conjunto Habitacional Isaura Pitta Garms, Bauru",366 m² tot.,3 quartos,3 ban.,3 vagas
863,R$ 489.610,"Vila São João do Ipiranga, Bauru",181 m² tot.,3 quartos,2 ban.,2 vagas
864,R$ 449.680,"Conjunto Habitacional Pastor Arlindo Lopes Viana, Bauru",208 m² tot.,3 quartos,2 ban.,2 vagas
865,R$ 279.450,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",230 m² tot.,3 quartos,1 banheiro,2 vagas
866,R$ 399.300,"Vila São João da Boa Vista, Bauru",544 m² tot.,2 quartos,2 ban.,2 vagas
867,R$ 798.200,"Vila São João da Boa Vista, Bauru",440 m² tot.,5 quartos,4 ban.,4 vagas
868,R$ 489.210,"Vila São João do Ipiranga, Bauru",182 m² tot.,3 quartos,3 ban.,2 vagas
869,R$ 750.000,"Vila São João da Boa Vista, Bauru",249 m² tot.,3 quartos,4 ban.,2 vagas
870,R$ 580.000,"Baeta Neves, São Bernardo do Campo",230 m² tot.,4 quartos,4 ban.,1 vaga
871,R$ 240.000,"Itanhaém, São Paulo",330 m² tot.,3 quartos,2 ban.,3 vagas
872,R$ 550.000,"Jardim Proença, Campinas",187 m² tot.,3 quartos,4 ban.,2 vagas
873,R$ 1.190.000,"Jardim do Lago, Atibaia",330 m² tot.,3 quartos,3 ban.,4 vagas
874,R$ 230.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,3 vagas
875,R$ 1.299.000,"Baeta Neves, São Bernardo do Campo",470 m² tot.,2 quartos,1 banheiro,2 vagas
876,R$ 1.280.000,"Vila Nova São José, Campinas",319 m² tot.,4 quartos,7 ban.,5 vagas
877,R$ 780.000,"Jardim do Lago, Atibaia",170 m² tot.,3 quartos,2 ban.,2 vagas
878,R$ 740.000,"Baeta Neves, São Bernardo do Campo",150 m² tot.,2 quartos,2 ban.,3 vagas
879,R$ 1.200.000,"Baeta Neves, São Bernardo do Campo",215 m² tot.,5 quartos,3 ban.,4 vagas
880,R$ 350.000,"Vila Virgínia, Ribeirão Preto",160 m² tot.,3 quartos,2 ban.,4 vagas
881,R$ 137.113,"Parque Residencial Salerno (Nova Veneza), Sumaré",125 m² tot.,2 quartos,1 banheiro,
882,R$ 620.000,"Praia das Palmeiras, Caraguatatuba",500 m² tot.,3 quartos,2 ban.,6 vagas
883,R$ 3.500.000,"Pacaembu, São Paulo",434 m² tot.,4 quartos,4 ban.,2 vagas
884,R$ 2.150.000,"Centro, Vinhedo",1152 m² tot.,3 quartos,2 ban.,4 vagas
885,R$ 719.000,"Baeta Neves, São Bernardo do Campo",125 m² tot.,2 quartos,2 ban.,2 vagas
886,R$ 560.000,"Baeta Neves, São Bernardo do Campo",200 m² tot.,2 quartos,1 banheiro,2 vagas
887,R$ 890.000,"Baeta Neves, São Bernardo do Campo",133 m² tot.,3 quartos,3 ban.,2 vagas
888,R$ 725.000,"Baeta Neves, São Bernardo do Campo",98 m² tot.,3 quartos,3 ban.,2 vagas
889,R$ 3.800.000,"Pacaembu, São Paulo",414 m² tot.,3 quartos,5 ban.,4 vagas
890,R$ 1.300.000,"Baeta Neves, São Bernardo do Campo",225 m² tot.,4 quartos,5 ban.,5 vagas
891,R$ 750.000,"Jardim do Lago, Atibaia",190 m² tot.,3 quartos,3 ban.,2 vagas
892,R$ 749.000,"Jardim do Lago, Atibaia",184 m² tot.,3 quartos,2 ban.,2 vagas
893,R$ 850.000,"Baeta Neves, São Bernardo do Campo",232 m² tot.,3 quartos,2 ban.,2 vagas
894,R$ 990.000,"Baeta Neves, São Bernardo do Campo",407 m² tot.,2 quartos,3 ban.,3 vagas
895,R$ 580.000,"Jardim Proença, Campinas",332 m² tot.,3 quartos,2 ban.,2 vagas
896,R$ 900.000,"Vila Nova São José, Campinas",252 m² tot.,4 quartos,2 ban.,2 vagas
897,R$ 700.000,"Jardim Saira, Sorocaba",300 m² tot.,3 quartos,3 ban.,3 vagas
898,R$ 2.750.000,"Condominio Jardim Paulista II, Vinhedo",576 m² tot.,5 quartos,6 ban.,4 vagas
899,R$ 250.000,"Itanhaém, São Paulo",330 m² tot.,3 quartos,2 ban.,5 vagas
900,R$ 890.000,"Baeta Neves, São Bernardo do Campo",133 m² tot.,3 quartos,3 ban.,2 vagas
901,R$ 3.199.230,"Bauru, São Paulo",447 m² tot.,4 quartos,6 ban.,4 vagas
902,R$ 1.799.450,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,2 vagas
903,R$ 129.032,"Parque Jaraguá, Bauru",87 m² tot.,2 quartos,1 banheiro,1 vaga
904,R$ 68.071,"Jardim Ivone, Bauru",26 m² tot.,1 quarto,1 banheiro,1 vaga
905,R$ 900.000,"Jardim Aeroporto, Bauru",174 m² tot.,3 quartos,3 ban.,2 vagas
906,R$ 200.000,"Jardim Ivone, Bauru",86 m² tot.,2 quartos,1 banheiro,2 vagas
907,R$ 215.000,"Vila Dutra, Bauru",118 m² tot.,3 quartos,2 ban.,2 vagas
908,R$ 280.000,"Jardim Helena, Bauru",131 m² tot.,3 quartos,3 ban.,3 vagas
909,R$ 260.000,"Jardim Cecap, Bauru",165 m² tot.,3 quartos,1 banheiro,3 vagas
910,R$ 1.050.000,"Vila Galvão, Bauru",221 m² tot.,3 quartos,3 ban.,2 vagas
911,R$ 84.892,"Jardim Marília, Bauru",125 m² tot.,1 quarto,1 banheiro,
912,R$ 100.741,"Parque Industrial Manchester, Bauru",168 m² tot.,2 quartos,1 banheiro,1 vaga
913,R$ 57.892,"Pousada da Esperança I, Bauru",25 m² tot.,,1 banheiro,
914,R$ 379.270,"Distrito Industrial Domingos Biancardi, Bauru",143 m² tot.,2 quartos,2 ban.,2 vagas
915,R$ 384.520,"Distrito Industrial Domingos Biancardi, Bauru",319 m² tot.,2 quartos,2 ban.,2 vagas
916,R$ 1.749.090,"Samambaia Parque Residencial, Bauru",395 m² tot.,3 quartos,5 ban.,4 vagas
917,R$ 1.899.490,"Samambaia Parque Residencial, Bauru",200 m² tot.,3 quartos,4 ban.,2 vagas
918,R$ 2.350.000,"Residencial Tivoli II, Bauru",360 m² tot.,3 quartos,2 ban.,
919,R$ 369.610,"Distrito Industrial Domingos Biancardi, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
920,R$ 1.694.430,"Samambaia Parque Residencial, Bauru",387 m² tot.,3 quartos,5 ban.,4 vagas
921,R$ 315.000,"Núcleo Habitacional José Regino, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
922,R$ 265.000,"Núcleo Residencial Alto Alegre, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
923,R$ 398.750,"Distrito Industrial Domingos Biancardi, Bauru",200 m² tot.,3 quartos,3 ban.,2 vagas
924,R$ 1.338.790,"Samambaia Parque Residencial, Bauru",375 m² tot.,3 quartos,3 ban.,2 vagas
925,R$ 3.399.360,"Residencial Jardim Estoril V, Bauru",564 m² tot.,3 quartos,4 ban.,4 vagas
926,R$ 3.499.560,"Residencial Jardim Estoril V, Bauru",448 m² tot.,3 quartos,5 ban.,6 vagas
927,R$ 320.000,"Jardim Bela Vista, Bauru",80 m² tot.,3 quartos,1 banheiro,2 vagas
928,R$ 369.690,"Conjunto Habitacional Joaquim Guilherme de Oliveira, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
929,R$ 240.000,"Conjunto Habitacional Isaura Pitta Garms, Bauru",150 m² tot.,3 quartos,2 ban.,2 vagas
930,R$ 200.000,"Fundação Casas Populares Salvador Filardi, Bauru",32 m² tot.,1 quarto,1 banheiro,2 vagas
931,R$ 249.250,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
932,R$ 116.047,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",126 m² tot.,2 quartos,1 banheiro,1 vaga
933,R$ 549.300,"Cibratel II, Itanhaém",300 m² tot.,3 quartos,3 ban.,6 vagas
934,R$ 340.000,"Parque Bauru, Bauru",198 m² tot.,3 quartos,2 ban.,2 vagas
935,R$ 430.000,"Parque Bauru, Bauru",150 m² tot.,3 quartos,2 ban.,2 vagas
936,R$ 400.000,"Parque Bauru, Bauru",440 m² tot.,3 quartos,2 ban.,
937,R$ 350.000,"Parque Bauru, Bauru",176 m² tot.,3 quartos,1 banheiro,1 vaga
938,R$ 270.000,"Parque Bauru, Bauru",132 m² tot.,2 quartos,1 banheiro,2 vagas
939,R$ 350.000,"Parque Bauru, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
940,R$ 300.000,"Parque Bauru, Bauru",252 m² tot.,2 quartos,2 ban.,2 vagas
941,R$ 290.000,"Parque Bauru, Bauru",548 m² tot.,2 quartos,1 banheiro,
942,R$ 640.000,"Núcleo Habitacional Mary Dota, Bauru",244 m² tot.,3 quartos,2 ban.,2 vagas
943,R$ 249.380,"Residencial Nova Bauru, Bauru",200 m² tot.,2 quartos,3 ban.,2 vagas
944,R$ 799.980,"Vila Aeroporto Bauru, Bauru",268 m² tot.,3 quartos,2 ban.,4 vagas
945,R$ 325.000,"Residencial Nova Bauru, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
946,R$ 3.500.000,"Vila Aeroporto Bauru, Bauru",968 m² tot.,7 quartos,8 ban.,8 vagas
947,R$ 3.100.000,"Vila Aeroporto Bauru, Bauru",1022 m² tot.,3 quartos,1 banheiro,4 vagas
948,R$ 900.000,"Vila Aeroporto Bauru, Bauru",396 m² tot.,3 quartos,2 ban.,2 vagas
949,R$ 800.000,"Vila Aeroporto Bauru, Bauru",300 m² tot.,3 quartos,3 ban.,
950,R$ 285.000,"Parque Bauru, Bauru",147 m² tot.,3 quartos,2 ban.,
951,R$ 330.000,"Parque Bauru, Bauru",143 m² tot.,3 quartos,2 ban.,5 vagas
952,R$ 329.880,"Parque Bauru, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
953,R$ 1.200.000,"Jardim Estoril III, Bauru",728 m² tot.,5 quartos,4 ban.,6 vagas
954,R$ 259.000,"Residencial Nova Bauru, Bauru",200 m² tot.,2 quartos,1 banheiro,4 vagas
955,R$ 370.000,"Jardim Nova Bauru, Bauru",130 m² tot.,3 quartos,3 ban.,1 vaga
956,R$ 478.790,"Jardim Cibratel, Itanhaém",300 m² tot.,3 quartos,5 ban.,6 vagas
957,R$ 2.480.000,"Alto Higienópolis, Bauru",454 m² tot.,3 quartos,5 ban.,4 vagas
958,R$ 370.000,"Centro, Bauru",176 m² tot.,3 quartos,2 ban.,2 vagas
959,R$ 680.000,"Centro, Bauru",170 m² tot.,4 quartos,2 ban.,2 vagas
960,R$ 680.000,"Centro, Bauru",170 m² tot.,4 quartos,2 ban.,2 vagas
961,R$ 600.000,"Centro, Bauru",246 m² tot.,3 quartos,1 banheiro,2 vagas
962,R$ 780.000,"Centro, Bauru",200 m² tot.,4 quartos,3 ban.,2 vagas
963,R$ 3.100.000,"Bauru, São Paulo",497 m² tot.,4 quartos,5 ban.,
964,R$ 310.000,"Bauru, São Paulo",256 m² tot.,3 quartos,3 ban.,
965,R$ 1.999.770,"Vila Aeroporto Bauru, Bauru",690 m² tot.,4 quartos,5 ban.,4 vagas
966,R$ 318.190,"Residencial Nova Bauru, Bauru",175 m² tot.,3 quartos,3 ban.,3 vagas
967,R$ 360.000,"Residencial Nova Bauru, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
968,R$ 360.000,"Residencial Nova Bauru, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
969,R$ 500.000,"Bauru, São Paulo",200 m² tot.,3 quartos,3 ban.,2 vagas
970,R$ 859.160,"Jardim do Lago, Atibaia",180 m² tot.,3 quartos,3 ban.,2 vagas
971,R$ 995.080,"Barreiro, Araçoiaba da Serra",890 m² tot.,3 quartos,3 ban.,5 vagas
972,R$ 800.000,"Jardim América, Bauru",352 m² tot.,4 quartos,2 ban.,2 vagas
973,R$ 850.000,"Jardim Panorama, Bauru",400 m² tot.,3 quartos,2 ban.,2 vagas
974,R$ 550.000,"Vila Rocha, Bauru",125 m² tot.,3 quartos,3 ban.,2 vagas
975,R$ 750.000,"Vila Coralina, Bauru",360 m² tot.,3 quartos,2 ban.,3 vagas
976,R$ 425.000,"Vila Nipônica, Bauru",260 m² tot.,3 quartos,1 banheiro,2 vagas
977,R$ 430.000,"Alto Higienópolis, Bauru",127 m² tot.,3 quartos,1 banheiro,2 vagas
978,R$ 850.000,"Jardim Europa, Bauru",242 m² tot.,3 quartos,2 ban.,2 vagas
979,R$ 550.000,"Vila Souto, Bauru",363 m² tot.,3 quartos,2 ban.,5 vagas
980,R$ 950.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,4 ban.,3 vagas
981,R$ 2.400.000,"Vila Serrão, Bauru",556 m² tot.,4 quartos,5 ban.,2 vagas
982,R$ 400.000,"Vila Independência, Bauru",286 m² tot.,3 quartos,1 banheiro,3 vagas
983,R$ 265.000,"Vila Dutra, Bauru",250 m² tot.,3 quartos,1 banheiro,1 vaga
984,R$ 650.000,"Jardim Eldorado, Bauru",484 m² tot.,2 quartos,2 ban.,7 vagas
985,R$ 690.000,"Vila Coralina, Bauru",380 m² tot.,2 quartos,1 banheiro,5 vagas
986,R$ 330.000,"Vila Pacífico, Bauru",360 m² tot.,3 quartos,2 ban.,3 vagas
987,R$ 1.700.000,"Jardim Paulista, Bauru",410 m² tot.,4 quartos,2 ban.,4 vagas
988,R$ 380.000,"Jardim Marambá, Bauru",300 m² tot.,3 quartos,1 banheiro,2 vagas
989,R$ 350.000,"Jardim Chapadão, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
990,R$ 690.000,"Vila Coralina, Bauru",380 m² tot.,2 quartos,1 banheiro,5 vagas
991,R$ 360.000,"Vila Industrial, Bauru",228 m² tot.,3 quartos,1 banheiro,2 vagas
992,R$ 290.000,"Alto Higienópolis, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
993,R$ 900.000,"Jardim Flórida, Bauru",550 m² tot.,3 quartos,4 ban.,4 vagas
994,R$ 579.000,"Jardim Panorama, Bauru",360 m² tot.,4 quartos,3 ban.,2 vagas
995,R$ 650.000,"Jardim Marambá, Bauru",523 m² tot.,3 quartos,1 banheiro,4 vagas
996,R$ 370.000,"Jardim Jandira, Bauru",100 m² tot.,2 quartos,1 banheiro,3 vagas
997,R$ 320.000,"Jardim Redentor, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
998,R$ 5.000.000,"Jardim América, Bauru",484 m² tot.,3 quartos,3 ban.,8 vagas
999,R$ 680.000,"Alto Higienópolis, Bauru",400 m² tot.,4 quartos,2 ban.,3 vagas
1000,R$ 580.000,"Alto Higienópolis, Bauru",484 m² tot.,2 quartos,1 banheiro,4 vagas
1001,R$ 450.000,"Jardim Solange, Bauru",173 m² tot.,3 quartos,2 ban.,1 vaga
1002,R$ 286.000,"Vila Industrial, Bauru",150 m² tot.,3 quartos,1 banheiro,4 vagas
1003,R$ 1.400.000,"Jardim Estoril, Bauru",363 m² tot.,4 quartos,5 ban.,5 vagas
1004,R$ 500.000,"Alto Higienópolis, Bauru",320 m² tot.,4 quartos,1 banheiro,4 vagas
1005,R$ 520.000,"Jardim Santana, Bauru",268 m² tot.,4 quartos,3 ban.,5 vagas
1006,R$ 275.000,"Alto Higienópolis, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
1007,R$ 750.000,"Jardim Colonial, Bauru",374 m² tot.,3 quartos,2 ban.,4 vagas
1008,R$ 600.000,"Alto Higienópolis, Bauru",240 m² tot.,3 quartos,1 banheiro,4 vagas
1009,R$ 385.000,"Jardim Panorama, Bauru",150 m² tot.,3 quartos,1 banheiro,3 vagas
1010,R$ 490.000,"Alto Higienópolis, Bauru",400 m² tot.,2 quartos,1 banheiro,2 vagas
1011,R$ 200.000,"Jardim Ivone, Bauru",126 m² tot.,2 quartos,1 banheiro,2 vagas
1012,R$ 600.000,"Quinta Ranieri, Bauru",300 m² tot.,2 quartos,2 ban.,2 vagas
1013,R$ 530.000,"Vila Lemos, Bauru",328 m² tot.,3 quartos,2 ban.,2 vagas
1014,R$ 370.000,"Alto Higienópolis, Bauru",242 m² tot.,3 quartos,1 banheiro,1 vaga
1015,R$ 550.000,"Vila Brunhari, Bauru",333 m² tot.,3 quartos,4 ban.,4 vagas
1016,R$ 250.000,"Vila Cardia, Bauru",170 m² tot.,2 quartos,1 banheiro,1 vaga
1017,R$ 310.000,"Alto Higienópolis, Bauru",140 m² tot.,3 quartos,1 banheiro,2 vagas
1018,R$ 300.000,"Alto Higienópolis, Bauru",205 m² tot.,3 quartos,1 banheiro,2 vagas
1019,R$ 1.400.000,"Alto Higienópolis, Bauru",350 m² tot.,4 quartos,5 ban.,6 vagas
1020,R$ 300.000,"Vila Cordeiro, Bauru",186 m² tot.,2 quartos,2 ban.,2 vagas
1021,R$ 1.300.000,"Quinta Ranieri, Bauru",207 m² tot.,3 quartos,3 ban.,2 vagas
1022,R$ 650.000,"Vila Cardia, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
1023,R$ 350.000,"Vila Coralina, Bauru",242 m² tot.,5 quartos,3 ban.,2 vagas
1024,R$ 1.100.000,"Alto Higienópolis, Bauru",311 m² tot.,4 quartos,2 ban.,2 vagas
1025,R$ 229.000,"Vila Coralina, Bauru",170 m² tot.,3 quartos,1 banheiro,2 vagas
1026,R$ 300.000,"Vila Camargo, Bauru",440 m² tot.,3 quartos,3 ban.,2 vagas
1027,R$ 250.000,"Vila Camargo, Bauru",252 m² tot.,2 quartos,1 banheiro,3 vagas
1028,R$ 5.000.000,"Jardim América, Bauru",484 m² tot.,3 quartos,3 ban.,8 vagas
1029,R$ 380.000,"Vila Souto, Bauru",242 m² tot.,3 quartos,1 banheiro,4 vagas
1030,R$ 450.000,"Jardim Godoy, Bauru",157 m² tot.,3 quartos,2 ban.,
1031,R$ 680.000,"Alto Higienópolis, Bauru",400 m² tot.,4 quartos,2 ban.,3 vagas
1032,R$ 420.000,"Vila Industrial, Bauru",126 m² tot.,3 quartos,1 banheiro,2 vagas
1033,R$ 580.000,"Alto Higienópolis, Bauru",484 m² tot.,2 quartos,1 banheiro,4 vagas
1034,R$ 300.000,"Jardim Marilu, Bauru",127 m² tot.,2 quartos,1 banheiro,2 vagas
1035,R$ 420.000,"Vila Cordeiro, Bauru",267 m² tot.,3 quartos,2 ban.,4 vagas
1036,R$ 1.200.000,"Vila Aviação, Bauru",193 m² tot.,3 quartos,4 ban.,2 vagas
1037,R$ 450.000,"Jardim Solange, Bauru",173 m² tot.,3 quartos,2 ban.,1 vaga
1038,R$ 350.000,"Jardim Prudência, Bauru",155 m² tot.,5 quartos,1 banheiro,3 vagas
1039,R$ 210.000,"Jardim Redentor, Bauru",180 m² tot.,3 quartos,1 banheiro,2 vagas
1040,R$ 286.000,"Vila Industrial, Bauru",150 m² tot.,3 quartos,1 banheiro,4 vagas
1041,R$ 1.400.000,"Jardim Estoril, Bauru",363 m² tot.,4 quartos,5 ban.,5 vagas
1042,R$ 270.000,"Jardim Silvestri, Bauru",90 m² tot.,2 quartos,1 banheiro,2 vagas
1043,R$ 500.000,"Alto Higienópolis, Bauru",127 m² tot.,3 quartos,3 ban.,3 vagas
1044,R$ 270.000,"Vila Pacífico, Bauru",99 m² tot.,3 quartos,1 banheiro,2 vagas
1045,R$ 500.000,"Alto Higienópolis, Bauru",320 m² tot.,4 quartos,1 banheiro,4 vagas
1046,R$ 550.000,"Vila Souto, Bauru",280 m² tot.,4 quartos,4 ban.,4 vagas
1047,R$ 600.000,"Vila Coralina, Bauru",480 m² tot.,3 quartos,2 ban.,5 vagas
1048,R$ 450.000,"Vila Falcão, Bauru",363 m² tot.,3 quartos,3 ban.,4 vagas
1049,R$ 700.000,"Vila Riachuelo, Bauru",250 m² tot.,3 quartos,5 ban.,3 vagas
1050,R$ 169.000,"Vila Dutra, Bauru",131 m² tot.,2 quartos,2 ban.,2 vagas
1051,R$ 3.000.000,"Vila Aviação, Bauru",934 m² tot.,4 quartos,4 ban.,6 vagas
1052,R$ 420.000,"Jardim Alvorada, Bauru",336 m² tot.,3 quartos,3 ban.,2 vagas
1053,R$ 630.000,"Jardim Eugênia, Bauru",272 m² tot.,3 quartos,2 ban.,2 vagas
1054,R$ 780.000,"Alto Higienópolis, Bauru",484 m² tot.,3 quartos,1 banheiro,4 vagas
1055,R$ 450.000,"Vila Camargo, Bauru",440 m² tot.,2 quartos,2 ban.,4 vagas
1056,R$ 300.000,"Vila Falcão, Bauru",153 m² tot.,2 quartos,2 ban.,4 vagas
1057,R$ 830.000,"Jardim América, Bauru",280 m² tot.,3 quartos,4 ban.,2 vagas
1058,R$ 1.750.000,"Jardim Colonial, Bauru",280 m² tot.,3 quartos,3 ban.,2 vagas
1059,R$ 430.000,"Jardim Guadalajara, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
1060,R$ 520.000,"Jardim Santana, Bauru",268 m² tot.,4 quartos,3 ban.,5 vagas
1061,R$ 285.000,"Jardim Petrópolis, Bauru",120 m² tot.,2 quartos,2 ban.,2 vagas
1062,R$ 275.000,"Alto Higienópolis, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
1063,R$ 700.000,"Jardim América, Bauru",145 m² tot.,3 quartos,2 ban.,1 vaga
1064,R$ 700.000,"Jardim Panorama, Bauru",286 m² tot.,2 quartos,1 banheiro,1 vaga
1065,R$ 450.000,"Vila Seabra, Bauru",500 m² tot.,5 quartos,2 ban.,1 vaga
1066,R$ 200.000,"Jardim Eldorado, Bauru",250 m² tot.,2 quartos,,2 vagas
1067,R$ 430.000,"Vila Independência, Bauru",137 m² tot.,3 quartos,2 ban.,4 vagas
