,precos,bairros,tamanhos,quartos,banheiros,vagas
61,R$ 150.000,"Pousada da Esperança I, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
62,R$ 230.000,"Vila Santa Inês, Bauru",138 m² tot.,1 quarto,2 ban.,2 vagas
63,R$ 425.000,"Vila Alto Paraíso, Bauru",180 m² tot.,3 quartos,2 ban.,4 vagas
64,R$ 1.000.000,"Jardim Estoril II, Bauru",525 m² tot.,4 quartos,4 ban.,2 vagas
65,R$ 1.250.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
66,R$ 400.000,"Vila Alto Paraíso, Bauru",180 m² tot.,3 quartos,,2 vagas
67,R$ 650.000,"Vila Santa Tereza, Bauru",363 m² tot.,4 quartos,4 ban.,
68,R$ 795.000,"Jardim do Lago, Atibaia",190 m² tot.,3 quartos,3 ban.,2 vagas
69,R$ 445.000,"Vila Bela Vista, Santo André",145 m² tot.,4 quartos,3 ban.,1 vaga
70,R$ 599.000,"Jardim do Lago, Atibaia",184 m² tot.,3 quartos,2 ban.,2 vagas
71,R$ 529.000,"Arroio Grande, Santa Cruz do Sul",360 m² tot.,2 quartos,2 ban.,2 vagas
72,R$ 860.000,"Jardim Paulista, Atibaia",180 m² tot.,3 quartos,4 ban.,3 vagas
73,R$ 740.000,"Baeta Neves, São Bernardo do Campo",150 m² tot.,2 quartos,3 ban.,3 vagas
74,R$ 430.000,"Vila Nova São José, Campinas",180 m² tot.,3 quartos,1 banheiro,1 vaga
75,R$ 780.000,"Vila São João da Boa Vista, Bauru",390 m² tot.,3 quartos,3 ban.,3 vagas
76,R$ 526.000,"Jardim Bela Vista, Guarulhos",144 m² tot.,3 quartos,2 ban.,2 vagas
77,R$ 3.500.000,"Pacaembu, São Paulo",353 m² tot.,4 quartos,4 ban.,2 vagas
78,R$ 400.000,"Vila Nova São José, Campinas",320 m² tot.,5 quartos,2 ban.,2 vagas
79,R$ 1.700.000,"Paúba, São Sebastião",105 m² tot.,3 quartos,3 ban.,2 vagas
80,R$ 200.000,"Jardim Progresso, Bauru",200 m² tot.,3 quartos,1 banheiro,3 vagas
81,R$ 450.000,"Vila Souto, Bauru",352 m² tot.,5 quartos,3 ban.,6 vagas
82,R$ 380.000,"Vila Camargo, Bauru",1040 m² tot.,2 quartos,,2 vagas
83,R$ 1.300.000,"Alto Higienópolis, Bauru",346 m² tot.,3 quartos,2 ban.,2 vagas
84,R$ 332.000,"Núcleo Habitacional Mary Dota, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
85,R$ 379.000,"Jardim Bela Vista, Bauru",176 m² tot.,3 quartos,2 ban.,2 vagas
86,R$ 429.900,"Vila Cidade Universitária, Bauru",173 m² tot.,3 quartos,2 ban.,3 vagas
87,R$ 370.000,"Vila São João da Boa Vista, Bauru",127 m² tot.,3 quartos,3 ban.,1 vaga
88,R$ 580.000,"Vila São João da Boa Vista, Bauru",300 m² tot.,4 quartos,3 ban.,4 vagas
89,R$ 85.000,"Pousada da Esperança I, Bauru",115 m² tot.,2 quartos,1 banheiro,2 vagas
90,R$ 129.948,"Vila São Paulo, Bauru",50 m² tot.,2 quartos,,
91,R$ 58.819,"Parque Jaraguá, Bauru",28 m² tot.,1 quarto,1 banheiro,1 vaga
92,R$ 2.599.560,"Bauru, São Paulo",450 m² tot.,3 quartos,5 ban.,4 vagas
93,R$ 209.710,"Bauru, São Paulo",47 m² tot.,2 quartos,1 banheiro,2 vagas
94,R$ 311.000,"Centro, Bauru",190 m² tot.,,2 ban.,2 vagas
95,R$ 349.440,"Jardim TV, Bauru",150 m² tot.,3 quartos,3 ban.,2 vagas
96,R$ 1.599.780,"Jardim Paulista, Bauru",420 m² tot.,4 quartos,7 ban.,4 vagas
97,R$ 264.220,"Jardim Ferraz, Bauru",150 m² tot.,2 quartos,2 ban.,2 vagas
98,R$ 649.040,"Jardim Hojas, Bauru",250 m² tot.,3 quartos,2 ban.,2 vagas
99,R$ 344.420,"Jardim Andorfato, Bauru",126 m² tot.,2 quartos,2 ban.,2 vagas
100,R$ 219.640,"Bauru, São Paulo",160 m² tot.,2 quartos,1 banheiro,2 vagas
101,R$ 239.650,"Bauru, São Paulo",148 m² tot.,2 quartos,1 banheiro,2 vagas
102,R$ 349.270,"Vila Nove de Julho, Bauru",363 m² tot.,4 quartos,4 ban.,4 vagas
103,R$ 409.130,"Jardim Ouro Verde, Bauru",484 m² tot.,3 quartos,2 ban.,2 vagas
104,R$ 1.889.220,"Jardim Estoril, Bauru",360 m² tot.,4 quartos,5 ban.,2 vagas
105,R$ 494.480,"Vila Lemos, Bauru",484 m² tot.,3 quartos,2 ban.,3 vagas
106,R$ 1.799.710,"Vila Aviação, Bauru",350 m² tot.,3 quartos,5 ban.,3 vagas
107,R$ 269.600,"Núcleo Habitacional Nobuji Nagasawa, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
108,R$ 419.300,"Jardim Terra Branca, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
109,R$ 349.010,"Núcleo Residencial Presidente Geisel, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
110,R$ 319.500,"Núcleo Habitacional Nobuji Nagasawa, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
111,R$ 329.310,"Jardim Cruzeiro do Sul, Bauru",181 m² tot.,2 quartos,3 ban.,3 vagas
112,R$ 795.000,"Jardim do Lago, Atibaia",189 m² tot.,3 quartos,1 banheiro,3 vagas
113,R$ 74.379,"Tangarás, Bauru",38 m² tot.,2 quartos,1 banheiro,
114,R$ 77.623,"Parque Paulista, Bauru",27 m² tot.,1 quarto,1 banheiro,1 vaga
115,R$ 65.922,"Vila Dutra, Bauru",25 m² tot.,1 quarto,1 banheiro,1 vaga
116,R$ 129.949,"Vila São Paulo, Bauru",45 m² tot.,2 quartos,1 banheiro,
117,R$ 136.779,"Estância Santa Cruz, Peruíbe",125 m² tot.,2 quartos,1 banheiro,
118,R$ 550.000,"Parque São João, Bauru",372 m² tot.,4 quartos,5 ban.,2 vagas
119,R$ 255.000,"Jardim Nova Esperança, Bauru",176 m² tot.,3 quartos,2 ban.,2 vagas
120,R$ 120.000,"Parque Bauru, Bauru",135 m² tot.,2 quartos,2 ban.,2 vagas
121,R$ 1.400.000,"Jardim América, Bauru",726 m² tot.,3 quartos,3 ban.,4 vagas
122,R$ 440.000,"Jardim Petrópolis, Bauru",120 m² tot.,2 quartos,2 ban.,2 vagas
123,R$ 365.000,"Jardim Olímpico, Bauru",180 m² tot.,3 quartos,3 ban.,2 vagas
124,R$ 480.000,"Jardim América, Bauru",207 m² tot.,2 quartos,2 ban.,2 vagas
125,R$ 180.000,"Parque Paulista, Bauru",100 m² tot.,2 quartos,1 banheiro,2 vagas
126,R$ 230.000,"Vila Dutra, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
127,R$ 399.000,"Núcleo Eldorado, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
128,R$ 2.700.000,"Vila Cardia, Bauru",1000 m² tot.,,4 ban.,10 vagas
129,R$ 254.000,"Jardim Alvorada, Bauru",192 m² tot.,2 quartos,2 ban.,3 vagas
130,R$ 245.000,"Vila Industrial, Bauru",252 m² tot.,3 quartos,4 ban.,1 vaga
131,R$ 400.000,"Vila Cardia, Bauru",190 m² tot.,3 quartos,3 ban.,2 vagas
132,R$ 255.000,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
133,R$ 320.000,"Jardim Bela Vista, Bauru",300 m² tot.,3 quartos,1 banheiro,2 vagas
134,R$ 275.000,"Núcleo Habitacional Nobuji Nagasawa, Bauru",200 m² tot.,2 quartos,1 banheiro,3 vagas
135,R$ 390.000,"Jardim Dona Lili, Bauru",432 m² tot.,2 quartos,2 ban.,4 vagas
136,R$ 595.000,"Vila Pacífico, Bauru",200 m² tot.,3 quartos,3 ban.,2 vagas
137,R$ 190.000,"Vila Independência, Bauru",308 m² tot.,3 quartos,2 ban.,
138,R$ 520.000,"Vila Jardim Celina, Bauru",119 m² tot.,3 quartos,3 ban.,2 vagas
139,R$ 379.090,"Centro, Bauru",,1 quarto,1 banheiro,1 vaga
140,R$ 270.000,"Vila Nova Paulista, Bauru",160 m² tot.,3 quartos,2 ban.,1 vaga
141,R$ 280.000,"Residencial Parque Granja Cecília A, Bauru",300 m² tot.,2 quartos,2 ban.,2 vagas
142,R$ 395.000,"Núcleo Habitacional José Regino, Bauru",200 m² tot.,4 quartos,3 ban.,5 vagas
143,R$ 160.000,"Parque Val de Palmas, Bauru",126 m² tot.,3 quartos,1 banheiro,1 vaga
144,R$ 690.000,"Vila Pacífico, Bauru",295 m² tot.,2 quartos,5 ban.,2 vagas
145,R$ 260.000,"Jardim Alvorada, Bauru",195 m² tot.,2 quartos,2 ban.,4 vagas
