,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
2765,2765,950000.0,300.0,2.0,2.0,2.0,509714.28571428574
2766,2766,305000.0,137.0,2.0,2.0,2.0,429783.1935483871
2767,2767,1850000.0,360.0,4.0,6.0,4.0,1621261.4285714286
2768,2768,1900000.0,420.0,3.0,4.0,2.0,429783.1935483871
2769,2769,480000.0,250.0,3.0,3.0,3.0,604667.5
2770,2770,850000.0,300.0,4.0,4.0,5.0,902439.8648648649
2771,2771,980000.0,360.0,3.0,3.0,2.0,1127828.611111111
2772,2772,1850000.0,462.0,4.0,4.0,2.0,2285020.649350649
2773,2773,450000.0,242.0,3.0,3.0,4.0,465320.0
2774,2774,325000.0,144.0,2.0,1.0,3.0,379047.125
2775,2775,1250000.0,360.0,3.0,4.0,4.0,1127828.611111111
2776,2776,950000.0,300.0,3.0,3.0,5.0,698659.0476190476
2777,2777,850000.0,300.0,3.0,4.0,2.0,698659.0476190476
2778,2778,530000.0,352.0,3.0,4.0,2.0,986906.7307692308
2779,2779,300000.0,200.0,3.0,2.0,3.0,553346.25
2780,2780,1600000.0,410.0,4.0,6.0,4.0,986906.7307692308
2781,2781,600000.0,226.0,3.0,2.0,2.0,902439.8648648649
2782,2782,340000.0,200.0,3.0,1.0,2.0,379047.125
2783,2783,1690000.0,525.0,3.0,4.0,3.0,1286197.4576271186
2784,2784,200000.0,231.0,2.0,2.0,1.0,401152.5
2785,2785,2700000.0,1000.0,3.0,5.0,10.0,1165876.6147859923
2786,2786,1550000.0,525.0,4.0,6.0,3.2982456140350878,1286197.4576271186
2787,2787,1600000.0,308.0,3.0,5.0,5.0,1554014.1666666667
2788,2788,1380000.0,840.0,3.0,4.0,4.0,986906.7307692308
2789,2789,1400000.0,398.0,4.0,6.0,2.0,1633333.3333333333
2790,2790,640000.0,180.0,3.0,4.0,2.9642857142857144,1165876.6147859923
2791,2791,290000.0,144.0,3.0,2.0,1.0,464769.67647058825
2792,2792,550000.0,429.0,2.0,3.0,4.0,465320.0
2793,2793,695000.0,484.0,3.0,3.0,4.0,849839.4
2794,2794,600000.0,220.0,3.0,2.0,3.0,487087.1219512195
2795,2795,850000.0,300.0,3.0,4.0,3.0,698659.0476190476
2796,2796,198000.0,240.0,3.0,2.0,4.0,509714.28571428574
2797,2797,350000.0,130.0,3.0,3.0,2.0,2285020.649350649
2798,2798,960000.0,300.0,3.0,4.0,3.727272727272727,1554014.1666666667
2799,2799,2500000.0,1180.0,4.0,6.0,9.0,1286197.4576271186
2800,2800,460000.0,157.0,3.0,2.0,2.0,374716.6666666667
2801,2801,500000.0,180.0,3.0,3.0,2.0,516538.19444444444
2802,2802,850000.0,720.0,3.0,4.0,2.8125,521000.0
2803,2803,2200000.0,700.0,3.0,5.0,3.0,2081936.3636363635
2804,2804,430000.0,328.0,3.0,3.0,2.0,377800.0
2805,2805,460000.0,308.0,3.0,3.0,2.0,465320.0
